app,app_cat,应用宝
金山WPS OFFICE手机版,办公管理,办公
百度云,办公管理,工具
钉钉,办公管理,办公
百度地图,便捷生活,出行
高德地图,便捷生活,出行
墨迹天气,便捷生活,生活
58同城,便捷生活,生活
京东商城,电子商务,购物
苏宁,电子商务,购物
蘑菇街,电子商务,购物
一号店,电子商务,购物
网易严选,电子商务,购物
聚美优品,电子商务,购物
洋码头,电子商务,购物
卷皮,电子商务,购物
掌阅书城,电子阅读,阅读
追书神器,电子阅读,阅读
中华万年历,个人工具,工具
Keep,健康医疗,健康
美柚,健康医疗,健康
平安好医生,健康医疗,健康
柚宝宝孕育,健康医疗,健康
咕咚运动,健康医疗,健康
支付宝,金融理财,理财
大智慧,金融理财,理财
携程旅行,旅行预订,旅游
去哪儿旅行网,旅行预订,旅游
铁路12306,旅行预订,生活
驴妈妈,旅行预订,旅游
南方航空,旅行预订,旅游
中国国际航空,旅行预订,旅游
海南航空,旅行预订,旅游
大众点评网,美食外卖,生活
饿了么,美食外卖,生活
美颜相机,拍摄美化,摄影
汽车之家,汽车服务,汽车
易车,汽车服务,汽车
太平洋汽车,汽车服务,汽车
驾考宝典,汽车服务,教育
宝宝树孕育,亲子服务,儿童
新浪微博,社交网络,新闻
QQ空间,社交网络,社交
探探,社交网络,社交
百度搜索,实用工具,工具
搜狗输入法,实用工具,工具
腾讯视频,视频服务,视频
爱奇艺,视频服务,视频
微信,通讯聊天,社交
QQ,通讯聊天,社交
网易云音乐,音乐音频,音乐
酷狗音乐,音乐音频,音乐
开心消消乐,游戏服务,休闲益智
贪吃蛇大作战,游戏服务,休闲益智
今日头条,综合资讯,新闻
网易新闻,综合资讯,新闻
